Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Tijuca;2;0;0;80;1400.0;850.0;0.0;17.5;Apartamento
Apartamento;Tijuca;3;1;0;96;1750.0;950.0;118.0;18.23;Apartamento
Apartamento;Tijuca;2;0;0;60;900.0;456.0;20.0;15.0;Apartamento
Apartamento;Tijuca;3;2;0;108;2000.0;1000.0;0.0;18.52;Apartamento
Apartamento;Tijuca;1;0;0;40;900.0;640.0;21.0;22.5;Apartamento
Apartamento;Tijuca;2;0;0;80;1400.0;850.0;0.0;17.5;Apartamento
Apartamento;Tijuca;2;1;1;120;1600.0;874.0;190.0;13.33;Apartamento
Apartamento;Tijuca;2;0;0;90;1700.0;530.0;0.0;18.89;Apartamento
Apartamento;Tijuca;2;1;0;70;2300.0;840.0;0.0;32.86;Apartamento
Apartamento;Tijuca;2;1;0;64;1150.0;695.0;60.0;17.97;Apartamento
Apartamento;Tijuca;3;1;1;90;2200.0;716.0;0.0;24.44;Apartamento
Apartamento;Tijuca;2;1;1;70;2100.0;7409.0;0.0;30.0;Apartamento
Apartamento;Tijuca;3;1;0;80;2600.0;800.0;0.0;32.5;Apartamento
Apartamento;Tijuca;2;0;0;61;1700.0;690.0;89.0;27.87;Apartamento
Apartamento;Tijuca;1;0;0;45;1300.0;400.0;0.0;28.89;Apartamento
Apartamento;Tijuca;1;0;0;45;1000.0;440.0;0.0;22.22;Apartamento
Apartamento;Tijuca;4;2;1;188;2000.0;2000.0;3090.0;10.64;Apartamento
Apartamento;Tijuca;2;1;0;65;1900.0;750.0;70.0;29.23;Apartamento
Apartamento;Tijuca;3;2;1;150;2800.0;1400.0;222.0;18.67;Apartamento
Apartamento;Tijuca;2;0;0;73;1200.0;700.0;30.0;16.44;Apartamento
Apartamento;Tijuca;3;1;0;90;2300.0;747.0;0.0;25.56;Apartamento
Apartamento;Tijuca;2;0;0;68;1700.0;604.0;84.0;25.0;Apartamento
Apartamento;Tijuca;1;0;0;40;1100.0;534.0;25.0;27.5;Apartamento
Apartamento;Tijuca;1;0;0;59;1250.0;500.0;0.0;21.19;Apartamento
Apartamento;Tijuca;2;1;0;56;1500.0;520.0;49.0;26.79;Apartamento
Apartamento;Tijuca;3;0;0;80;1800.0;760.0;119.0;22.5;Apartamento
Apartamento;Tijuca;1;0;0;48;1200.0;310.0;47.0;25.0;Apartamento
Apartamento;Tijuca;3;1;0;120;1400.0;699.0;150.0;11.67;Apartamento
Apartamento;Tijuca;1;1;0;52;1500.0;505.0;21.0;28.85;Apartamento
Apartamento;Tijuca;2;0;0;51;1800.0;250.0;0.0;35.29;Apartamento
Apartamento;Tijuca;3;0;0;92;1500.0;645.0;85.0;16.3;Apartamento
Apartamento;Tijuca;1;1;1;40;1600.0;493.0;0.0;40.0;Apartamento
Apartamento;Tijuca;4;2;2;182;2500.0;1620.0;297.0;13.74;Apartamento
Apartamento;Tijuca;2;1;0;75;1500.0;430.0;0.0;20.0;Apartamento
Apartamento;Tijuca;4;2;1;150;2500.0;1300.0;315.0;16.67;Apartamento
Apartamento;Tijuca;2;1;0;73;1680.0;500.0;80.0;23.01;Apartamento
Apartamento;Tijuca;3;1;0;90;2000.0;620.0;56.0;22.22;Apartamento
Apartamento;Tijuca;2;1;0;84;1800.0;501.0;0.0;21.43;Apartamento
